building_id,total_price
hPNH34vmaZtvBtqc,12348561.0
eM2NppIOwzW0o8iy,11013223.0
BrKghvR76XdbQPnx,7926220.5
JPWqZbLq0VNC0yKI,9603339.0
YLKpsew5dW75vksT,6568837.0
yn4pyBYVb1GcpQ1T,3599909.8
SJLj6Ars5P1fN8uS,17164728.0
hnYkYGw5QAKE4mKe,768846.5
yVbxVL3euuIqmo7V,5430188.5
W4cY4JyAXjYXY1tF,23240006.0
ejGoSLE9isKffLmw,10078563.0
Q8dFQs5lhVAiEJTE,13556732.0
GVWNfdARZFl4J5Wx,2974604.2
Ak8AvJmjEw3jSzPD,2684083.2
PZkZQcO1joCaJu4m,5348010.5
wv16qReSoCwACjGq,75189980.0
lQtwWVt7IM3E2gLv,10902244.0
E0gBmfDjtixwUA0k,11099305.0
u1ABCsLuOqw7xeSg,10096283.0
sDbbvPTKNYvnkBEP,2300271.2
QgT6Z9Min017dB2H,2871346.8
WKx1rO3DeALb6HGl,6837274.5
z5r0q3mS6g4AdXmz,2399763.5
Xsn2nvFborqzWEDy,1297754.6
ZdlblPDUtFcPzPVG,2718990.2
kEXBTA7suwUCFuDy,11640272.0
aCNZPpPNGfirFbiq,7156190.0
YBDD94i8AhJFvNTX,1634216.4
ZmcP061oB7pLvwWI,4302323.5
T30SXsl2ZVCbhIf2,3747092.8
TP3o1eIQ3EkvnejY,10657212.0
ORobsxUS7gfK0bX4,20393808.0
AzPpJz3T62VmkxrS,2377936.5
MwV3Ve3wqFjXXIEQ,62810760.0
YGvFSY3UbKzqUWsu,10591495.0
QQrkTCqzHS3JKGyi,5924345.0
ByzgK6XH2FXj3Zc9,7370484.5
mbZY6kO9JRKSIYJZ,12235672.0
LcHRmjVTUY1d8zAr,9456221.0
EIxpX2lay3NyyhmD,21223402.0
JaefG5EBsZ0SYwxl,4588696.5
CDRQ7vsDJH1NHBQx,2724308.5
ZzotlYNcNBPq7fBB,15027846.0
U9zBPGFeGJoWnRNd,10555799.0
OqLnGFjpkobraVmq,4213789.5
XWfag8HrTzUIS1ZE,2627881.8
JXifyDIQDlJqt2RB,33902548.0
PmwOSKCRuUFPDDBJ,14898077.0
WycRuB5bZxXlWV2W,2415360.5
YWjv0ZV8eA0mZRF2,24071294.0
u9AL6k4rKAvzyy8C,2829096.0
MNbXMNnVE0Bqbxf3,193013000.0
lT9WVqZ7TkdeINoK,6746137.0
jFdgPNw1UOrCgz9R,9644715.0
bBLdAVyUfZHFc4J8,6337433.5
WyDY0LJgEQd3w3oI,516836030.0
F9POw6Q1VfzwmvZl,30617826.0
OSoIi62sdAPjvwaW,10703863.0
fHnPAGPz5H4A5ncG,2160855.5
eFfKOULeH9AHevP1,8981071.0
A4IbRxiHEW1s4xWm,20199856.0
BzZWsahUzzS3EQmU,44004310.0
vTJcIJp1zdWYk3kT,786078200.0
Z6vMNaMXR8E2gcIU,9277567.0
N7FRMJ3hgQwfo1iN,9933046.0
JnHUpz9gPQhtqd3U,1766079.4
QNguheAhZm7YQHam,33468862.0
v0g7kjWLOxF9i3bH,57137840.0
tKEgaj3SpF7MX1Lx,1843853.4
ERFxy1azCrajGP3q,2128064.8
iuxiZi3C6ZUa1YBu,4541218.0
aoMjwZlKLyn23eLG,4206088.5
VPqfAXR2SFZidsdv,12136980.0
B6sklEIe4jOQbQ7y,5322671.5
k2XTiqNucNtmOM0P,12959830.0
y3r6qkIAZJCH4Bl6,12987867.0
YyHL06puF4yThClZ,17598476.0
Wdak4Ahbtg1vxW8z,15006650.0
roaRzR8rcOGClB8Y,4618449.5
XfG52ndMtJhIpXQ7,5498150.0
kum5RaK8OCRYfRCL,1821539.5
Xd4zehBZFk2ySozC,40361684.0
tQnYe5oeR1AYOqPq,6134437.0
zVrJHctlDMZrgSRX,31053812.0
NJYAPujtH1ZGkFH6,28118210.0
t7JUNMtfU9aAZbFy,5200408.5
QTVI4Dog1YbjVgmH,5407744.5
Zu2BIyMBKqKADghc,8417711.0
zzNxAsYc4pCLb8cT,16615569.0
ivYExq1o9KISbE9G,1415620.2
cDddzzxltOWjQRy1,2654376.5
qlop7geh3C82s5XC,21424362.0
XR1alkVA5gx3uSc8,2355752.8
pjYnpJq7qn88pB4B,3442545.0
nY8ArxLsiCcHfFBq,2959096.2
yWqeSPpclUyCXRb7,3252045.8
XU5vKK7RjFSX1QkH,2958089.0
VlsCMTYjtYdPCOOA,32940990.0
f8SQJAAjEFrDY5y2,25229098.0
MmrsUZRkrKEwyTY8,6811034.5
OW9HoxO50CCBk1Pe,66577540.0
zQpsYHN08e7nBqM4,4344751.5
kLJs9hlLD2krtNLj,3242971.5
we4T3Jh7wf43EoJN,3903743.0
Wz6BDeQaj9P651yq,17950506.0
JCF2wlC2DaLEfuH3,78567310.0
OBCkvNvEdk4rbM5m,12134018.0
kHJB2mqC9KaielRK,45472744.0
VVuzs8mA59Tqq9Zn,15718197.0
HbbHzMgEdn4Yy9Yt,4634691.0
RB1JtNHm1GgHOib4,9315655.0
T87nmozOjIscHzl0,18035100.0
LfDjwYx2diBqGFoK,2899931.0
qCBhEjCucRJhKDt3,8665599.0
r3N5j9F7eIQTPXBF,2811940.2
XgyrgXyT7sx2dMR7,2541260.8
heV1zTCVN1mZuzco,60741300.0
BRAidOmA2a0kGGAx,37992884.0
Z1quSCADpst4XfoV,1787441.0
Nc6LQl8oqj8ANhIa,58833870.0
o9JB3RMJ6GhV3NNB,17871010.0
PXU18LpmQhZeXOgr,67992660.0
R8zYyV2jLARWNsBl,6422590.5
dqLv97VWU6xCdQTi,8114224.0
o3f5CoYRNzuyOj2Z,14590874.0
n3ipl0i0Dg0GULrW,1595881.9
i7226z7dwwaif4pV,3405976.8
cxOo3WaXbwGbeOee,858537.6
XQSUBM24Wi3OSSFY,7092426.0
JRLYHMycpd7Vhhby,27346830.0
F10DcXHz3Emhp408,9694974.0
BiSrWBUJZKi4GJBx,8033078.5
m2SjFuUI6We2s2YL,36769292.0
xWBW2e821hqavHNt,6538112.5
L9AI68YKjq4ZkfTS,3409054.2
Rr393Ycb0afRMvK5,6016452.0
KdYCXpBfJKS4jzE3,4604008.0
LDW2aCQQIZmbqWr8,9300493.0
AJbd6muMhsG9BpJ1,12014402.0
s5KJUgLrfRlwpLEJ,9048144.0
LZB9lC9M95ZaWgcr,5616968.5
Sza0GT0S4g380HCe,2778705.8
bEQKWWW07GhrfXgp,101748920.0
Dd87TvPBvxgYXZBO,66202972.0
jHUpnPeckB6aVCNI,6435644.0
p3stTlIOuv8iamSP,2411965.2
JH6Dg4SxrV6XxKkm,1882401.9
w0pdscTOAUQcSqdb,5652866.0
qNEelSwt8JJoMRdv,6658265.0
s1fficwn0vrQx4SP,11031661.0
KvBUj6D7Y50XTG6o,29665798.0
lD7QQ95DXUzf7igp,2163255.5
BOQ1sjbNu2OTc4HT,3073401.0
lAXcdN2PZ18FJKz2,7203703.5
KEECZPkn8JJnXw1V,6019832.5
n7mFyn7KAsFGU2ty,16859208.0
Nn7nzJEbajxpq3kP,1019633.94
S0QRWjYkgJKSoki1,25359938.0
TmBJtOZdHiF57HXA,13643371.0
FpNjgZEOU1FHFCZP,3890281.8
Q6ssdWYuoWz4eqXe,8430605.0
o1XhDyRLYHQdIvYF,10180361.0
nQbZnwewCjfNVyy2,2253709.2
sfdt5rUUo3fOHghF,4305172.0
vEOzrybZvyfOWvu1,4947068.5
ZjG2Rwe2XnxRJ2RL,21930544.0
IlYjucqssHHIJciO,160713820.0
hw7jdwlL9GVHSPK2,75725660.0
w7oiPidYzKV1iXse,10282541.0
NWw2Dd03I8xgCMxo,25335282.0
Ha4gyeFkW5trAJCJ,12093722.0
h9U4WPWoCddTr7XI,12403538.0
QOZYDSkvxUVRWSD6,15156663.0
JaadkKkHJntuX9sa,3488876.0
xZzP7eCe7fjGPGLA,13953149.0
FZIbZ6jLDkwemASR,43655540.0
KQlHZMzf8HlmC20s,3359759.8
u15xTrz175Fpxuwu,6301358.0
YskM0QCB7d1Xtrgr,97178616.0
Vao7h4C3A3idQUT1,830242.2
QT60bJnoP9PQumIH,1711697.1
HUNeBuqi29w2TTcL,47510090.0
jVTa3s8vWA7so9HT,54165576.0
H8DOa9TIFd3KjlnK,5690197.5
QykBPm4ew8FEPCSt,12647379.0
MJ8Qo8NrYHIoXEDl,22672530.0
tkdzA6i6nKv665YL,6279444.0
eqQeNVgUHqn7pGkh,74865990.0
MrPMMHgSZoYHXEHE,11215862.0
gtoLAGprL2DSGXKe,46973332.0
xHyG88OvYDOYUIZo,25435168.0
IWIHojESxXlQElXU,22332436.0
jPFIIFOME09vvtAz,3621109.8
q8aonMYFPi5EsPMM,15799835.0
TVmffN63YdZv8rZZ,4970022.0
KIHkfLpGPGhojrTk,1617924.5
jvrnhJYJDBad01xZ,3293971.8
iCwzGIaiCxLVzWx6,10107112.0
REg71N87FhibL7i9,1115020.2
eQ7Db2lOeJe2jkXl,1012948900.0
yz5DnREu5RFBWosK,3818538.5
MtOUtsMdWdCDLVJl,9518942.0
IAIYn4qJvBEkvQvP,5855329.5
MIzywuSZnFuwHOvi,14141151.0
D0LzPZGnNnqXlr8J,6470902.0
iwgY8oYKV205p9YM,5347572.0
HF5PpK0MpyNHnxB9,14180693.0
